,Stn_Name,Lat,Long,Prov,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,Stn_No,xm,ym,Clus_Db
245,YOHO NP OHARA LAKE,51.356,-116.337,BC,-5.0,0.0,,5.0,0.0,-23.0,0.0,62.0,0.0,,62.0,0.0,,89.0,13.0,,,,643.2,0.0,117R00H,2631204.3101984104,1816531.1694584591,-1
246,CHARLIE LAKE,56.298,-121.017,BC,-8.0,2.0,,12.0,1.0,-30.0,2.0,23.0,1.0,,23.0,1.0,,70.0,5.0,,,,676.5,0.0,11814FR,2110812.2985461033,2748946.1652738294,-1
247,CHETWYND A,55.687,-121.627,BC,-5.9,0.0,1.3,11.7,0.0,-28.1,0.0,90.8,0.0,400.0,43.9,0.0,271.0,13.0,6.0,,,,669.2,0.0,1181508,2042983.425232448,2627469.9769464275,-1
248,DAWSON CREEK A,55.742,-120.183,BC,-8.6,0.0,,11.1,0.0,-29.2,0.0,,,,9.6,0.0,,,3.0,,,,744.4,0.0,1182289,2203548.823699526,2638326.5988465417,-1
249,FORT ST. JOHN A,56.238,-120.74,BC,-9.6,0.0,,9.7,0.0,-29.2,0.0,35.3,1.0,,37.6,1.0,,16.0,8.0,,,,771.5,0.0,1183001,2141613.27872296,2736931.783679407,3
250,MACKENZIE,55.299,-123.133,BC,-6.1,1.0,,7.3,1.0,-24.5,1.0,,,,38.0,1.0,,,2.0,,,,650.9,0.0,1184791,1875523.944559718,2551311.961733725,-1
251,MACKENZIE AIRPORT AUTO,55.305,-123.138,BC,-5.8,0.0,,7.5,0.0,-23.8,0.0,,,,49.1,0.0,,42.0,8.0,,,,665.0,0.0,1184793,1874967.9701882934,2552483.9745234624,-1
252,SIKANNI CHIEF,57.25,-122.718,BC,-8.0,6.0,,11.0,6.0,-34.2,6.0,68.0,6.0,,68.0,6.0,,26.0,6.0,,,,572.6,0.0,1187335,1921669.8173878598,2942149.542908429,-1
253,DEASE LAKE A,58.422,-130.031,BC,-11.2,0.0,,5.7,0.0,-34.7,0.0,,,,15.2,0.0,,,3.0,,,,816.5,0.0,1192341,1108501.701743986,3186980.0235804264,-1
254,FORT NELSON A,58.836,-122.597,BC,-14.7,0.0,,11.7,0.0,-37.5,0.0,40.1,0.0,,36.0,0.0,,46.0,9.0,,,,916.0,0.0,1192946,1935124.3971763072,3275411.2619416183,-1
255,FORT NELSON UA,58.841,-122.573,BC,-13.7,0.0,,11.5,0.0,-35.5,0.0,33.5,0.0,,33.5,0.0,,46.0,5.0,,,,888.7,0.0,1192950,1937793.0741591398,3276485.7079463108,-1
256,DEASE LAKE (AUT),58.426,-130.026,BC,-11.3,0.0,,5.7,0.0,-34.8,0.0,,,,9.7,0.0,,48.0,3.0,,,,819.2,0.0,119BLM0,1109057.676115409,3187829.440670985,-1
257,ATLIN,59.567,-133.7,BC,-8.8,0.0,1.9,7.5,0.0,-31.0,0.0,9.8,0.0,41.0,9.8,0.0,39.0,11.0,4.0,,,,750.6,0.0,1200560,700527.7079934927,3434168.825935318,-1
258,PLEASANT CAMP,59.45,-136.367,BC,-4.4,0.0,1.1,5.0,0.0,-22.0,0.0,29.0,0.0,26.0,71.4,0.0,51.0,0.0,11.0,,,,625.9,0.0,1206197,403970.9782762478,3408529.201279628,-1
260,BURWASH A,61.371,-139.04,YT,-15.9,0.0,,9.4,0.0,-42.9,0.0,,,,0.0,1.0,,,0.0,,,,948.5,0.0,2100181,106747.07931329482,3841265.182454127,-1
261,BURWASH A,61.367,-139.05,YT,-15.7,0.0,0.7,11.0,0.0,-43.5,0.0,2.0,0.0,19.0,0.2,0.0,3.0,5.0,0.0,,,,943.1,0.0,2100182,105635.13057044585,3840336.947281982,-1
262,BURWASH AIRPORT AUTO BC,61.367,-139.017,YT,-16.2,0.0,,9.7,0.0,-43.7,0.0,,,,0.4,0.0,,1.0,0.0,,,,956.9,0.0,2100184,109304.56142184205,3840336.947281982,-1
263,CARMACKS CS,62.115,-136.192,YT,-17.1,0.0,,10.6,0.0,-43.5,0.0,,,,5.8,0.0,,31.0,2.0,,,,982.2,0.0,2100301,423430.08127606515,4016019.774834999,-1
264,DAWSON A,64.043,-139.128,YT,-20.7,0.0,0.8,3.0,0.0,-47.1,0.0,15.2,0.0,84.0,15.8,0.0,123.0,46.0,3.0,,,,1083.5,0.0,2100402,96961.93037624356,4489718.034728124,-1
265,FARO A,62.207,-133.373,YT,-16.2,0.0,-0.8,6.8,0.0,-44.8,0.0,5.4,0.0,37.0,4.4,0.0,36.0,35.0,1.0,,,,958.0,0.0,2100517,736888.4318845832,4037925.954932845,-1
266,FARO (AUT),62.208,-133.376,YT,-16.4,0.0,,6.8,0.0,-44.8,0.0,,,,5.2,0.0,,,2.0,,,,963.2,0.0,2100518,736554.8472617276,4038164.4319371385,-1
267,HAINES JUNCTION,60.773,-137.58,YT,-12.6,0.0,,10.1,0.0,-38.9,0.0,,,,6.8,0.0,,24.0,2.0,,,,856.6,0.0,2100630,269091.5957689271,3703792.7480580816,-1
270,MACMILLAN PASS,63.244,-130.037,YT,-17.1,0.0,,2.4,0.0,-40.9,0.0,,,,12.2,2.0,,93.0,2.0,,,,982.0,0.0,2100693,1107834.532498278,4289582.236080122,-1
272,MAYO A,63.616,-135.868,YT,-18.5,0.0,,4.8,0.0,-48.2,0.0,18.4,0.0,,8.6,1.0,,32.0,3.0,,,,1023.3,0.0,2100701,459457.2205443032,4382061.5412809225,-1
273,MAYO ROAD,60.876,-135.183,YT,-14.2,0.0,-1.2,9.0,0.0,-43.5,0.0,6.0,0.0,43.0,6.0,0.0,43.0,0.0,2.0,,,,902.9,0.0,2100709,535625.70942931,3727286.910576462,-1
278,DAWSON,64.05,-139.133,YT,-20.8,0.0,,3.5,0.0,-47.1,0.0,,,,18.1,0.0,,42.0,3.0,,,,1085.8,0.0,2100LRP,96405.95600481749,4491496.5772479465,-1
279,TESLIN (AUT),60.167,-132.733,YT,-12.2,0.0,,6.5,0.0,-35.8,0.0,,,,5.8,0.0,,37.0,1.0,,,,846.1,0.0,2101102,808053.1514267777,3567072.910129995,-1
280,WATSON LAKE (AUT),60.118,-128.822,YT,-16.2,0.0,,7.1,0.0,-40.4,0.0,,,,13.8,0.0,,38.0,4.0,,,,956.7,0.0,2101204,1242936.304754166,3556128.6308261594,-1
281,WHITEHORSE A,60.709,-135.067,YT,-12.4,0.0,,7.8,0.0,-36.7,0.0,,,,,,,,,,,,851.4,0.0,2101303,548524.3148463315,3689232.4329214664,-1
282,WHITEHORSE AUTO,60.733,-135.098,YT,-12.0,0.0,,8.1,0.0,-35.6,0.0,,,,3.4,0.0,,34.0,1.0,,,,838.6,0.0,2101310,545077.2737435057,3694689.1497021364,-1
286,DEADMEN VALLEY,61.257,-124.468,NT,-18.4,0.0,,7.8,0.0,-44.4,0.0,,,,,,,38.0,,,,,1020.1,0.0,22010H0,1727078.7873896677,3814856.8700866913,-1
288,FORT LIARD,60.233,-123.467,NT,-15.7,0.0,,12.5,0.0,-35.8,0.0,,,,,,,,,,,,943.2,0.0,2201579,1838384.8565486341,3581840.010940523,-1
289,FORT PROVIDENCE,61.317,-117.602,NT,-21.2,0.0,,1.1,0.0,-38.0,0.0,,,,,,,,,,,,1096.7,0.0,2201799,2490542.794228289,3828744.0105702067,-1
290,FORT RELIANCE (AUT),62.711,-109.168,NT,-28.6,0.0,,-8.0,0.0,-41.7,0.0,,,,13.7,2.0,,36.0,2.0,,,,1304.1,0.0,2201903,3428360.3639452895,4159132.1817952925,-1
291,FORT SIMPSON CLIMATE,61.76,-121.237,NT,-20.8,0.0,,-0.4,0.0,-38.8,0.0,,,,27.3,0.0,,46.0,9.0,,,,1087.1,0.0,2202102,2086349.4262034735,3932108.637877659,-1
292,FORT SIMPSON A,61.76,-121.237,NT,-20.8,0.0,,-0.9,0.0,-38.5,0.0,33.3,0.0,,39.0,0.0,,64.0,11.0,,,,1086.2,0.0,2202103,2086349.4262034735,3932108.637877659,-1
293,FORT SMITH A,60.02,-111.962,NT,-23.1,0.0,,-4.8,0.0,-38.1,0.0,23.1,0.0,,12.2,0.0,,35.0,4.0,,,,1150.9,0.0,2202201,3117681.8851938904,3534288.846018822,-1
294,FORT SMITH CLIMATE,60.026,-111.929,NT,-22.8,0.0,,-4.7,0.0,-37.5,0.0,,,,11.1,0.0,,45.0,3.0,,,,1142.4,0.0,2202202,3121351.316045285,3535624.11301954,-1
295,HANBURY RIVER,63.6,-105.133,NT,-31.2,0.0,,-11.6,0.0,-42.5,0.0,,,,2.1,2.0,,39.0,0.0,,,,1376.9,0.0,2202351,3877031.681683979,4378059.117035269,-1
296,HAY RIVER A,60.84,-115.783,NT,-21.4,0.0,,-2.5,0.0,-39.0,0.0,16.2,1.0,,13.4,1.0,,56.0,5.0,,,,1104.0,0.0,2202401,2692806.270552124,3719066.756089558,-1
297,HAY RIVER CLIMATE,60.839,-115.777,NT,-21.0,0.0,,-2.3,0.0,-37.6,0.0,,,,28.8,0.0,,33.0,12.0,,,,1092.1,0.0,2202402,2693473.439797832,3718838.5506374585,-1
298,INNER WHALEBACKS,61.92,-113.726,NT,-24.6,0.0,,-5.7,0.0,-36.1,0.0,,,,7.9,7.0,,,4.0,,,,1192.2,0.0,2202560,2921534.1269557136,3969807.0741949817,-1
300,LAC LA MARTRE,63.134,-117.245,NT,-25.8,0.0,,-3.5,0.0,-39.6,0.0,,,,,,,,,,,,1226.9,0.0,2202678,2530239.36434792,4262464.438313612,-1
305,RABBIT KETTLE,61.963,-127.209,NT,-12.6,20.0,,-0.6,20.0,-42.6,18.0,,,,,,,,,,,,244.5,0.0,2203342,1422293.6369753566,3979972.160830333,-1
306,RAE LAKES,64.112,-117.328,NT,-24.7,0.0,,-1.6,0.0,-38.6,0.0,,,,,,,,,,,,1194.5,0.0,2203359,2521010.189782291,4507268.904637621,-1
308,YELLOWKNIFE A,62.463,-114.44,NT,-25.9,0.0,,-4.9,0.0,-41.5,0.0,18.6,0.0,,13.8,0.0,,37.0,6.0,,,,1229.7,0.0,2204101,2842140.986716451,4099235.4879946476,-1
309,YELLOWKNIFE-HENDERSON,62.45,-114.383,NT,-26.1,0.0,,-4.5,0.0,-42.0,0.0,9.0,0.0,,9.0,0.0,,45.0,5.0,,,,1234.0,0.0,2204110,2848479.0945506785,4096109.482619296,-1
310,YOHIN,61.242,-123.742,NT,-17.9,1.0,,11.4,1.0,-39.2,0.0,,,,,,,55.0,,,,,969.6,0.0,2204300,1807806.266120346,3811389.2285782015,-1
313,LUTSELK'E CS,62.416,-110.69,NT,-27.9,0.0,,-6.9,0.0,-41.7,0.0,,,,,,,33.0,,,,,1285.1,0.0,220L002,3259121.7652840056,4087940.1993386215,-1
314,LINDBURG LANDING,61.125,-122.851,NT,-24.4,23.0,,-0.7,23.0,-37.3,23.0,,,,2.9,23.0,,71.0,1.0,,,,212.0,0.0,220N003,1906880.8991079978,3784398.2426636377,-1
316,ARVIAT A,61.094,-94.072,NU,-31.5,2.0,,-13.6,2.0,-39.1,2.0,,,,23.1,2.0,,,4.0,,,,1287.4,0.0,2300427,5106958.186146837,3777263.5378949353,-1
317,BAKER LAKE CLIMATE,64.317,-96.0,NU,-33.5,0.0,,-14.3,0.0,-40.3,0.0,,,,2.5,0.0,,3.0,0.0,,,,1442.8,0.0,2300501,4892574.468525972,4559670.9640265955,-1
318,BAKER LAKE A,64.299,-96.078,NU,-33.1,0.0,,-14.1,0.0,-40.4,0.0,6.6,0.0,,6.8,1.0,,54.0,1.0,,,,1430.1,0.0,2300503,4883901.268331766,4555054.229920634,-1
322,CORAL HARBOUR A,64.193,-83.359,NU,-34.1,0.0,-4.4,-21.8,0.0,-43.7,0.0,3.6,0.0,51.0,3.2,0.0,46.0,36.0,2.0,,,,1459.3,0.0,2301000,6298188.874358627,4527927.757945371,-1
323,CORAL HARBOUR RCS,64.333,-83.617,NU,-33.9,1.0,,-21.6,1.0,-42.6,0.0,,,,5.2,3.0,,22.0,2.0,,,,1401.0,0.0,2301010,6269500.5967931785,4563777.26029848,-1
324,ARVIAT CLIMATE,61.1,-94.067,NU,-31.7,0.0,,-13.5,0.0,-39.3,0.0,,,,12.4,0.0,,,4.0,,,,1392.8,0.0,2301153,5107514.160518262,3778643.902661382,-1
330,RANKIN INLET A,62.811,-92.115,NU,-33.6,0.0,,-17.7,0.0,-40.0,0.0,12.5,0.0,,10.9,1.0,,51.0,3.0,,,,1443.7,0.0,2303405,5324566.555121959,4183426.306938947,-1
331,SANIKILUAQ,56.537,-79.26,NU,-29.0,0.0,,-16.7,0.0,-35.8,0.0,,,,1.4,10.0,,,1.0,,,,1317.2,0.0,2303668,6753976.664051535,2796991.5423989072,-1
337,BREVOORT ISLAND,63.34,-64.146,NU,-25.6,3.0,,-16.1,2.0,-32.9,1.0,,,,,,,,,,,,1091.0,0.0,2400565,8434575.993990205,4313333.193710157,-1
344,CAPE DORSET CLIMATE,64.231,-76.53,NU,-28.6,0.0,,-20.8,0.0,-35.8,0.0,,,,5.1,0.0,,,1.0,,,,1304.2,0.0,2400636,7057538.670848714,4537640.385324505,-1
345,CAPE DORSET A,64.23,-76.525,NU,-28.5,1.0,,-20.7,1.0,-35.5,1.0,,,,9.7,1.0,,,2.0,,,,1254.7,0.0,2400637,7058094.645220137,4537384.618975404,-1
351,CAPE MERCY,64.958,-63.578,NU,-27.4,2.0,,-15.4,1.0,-35.5,1.0,,,,,,,,,,,,1181.4,0.0,2400F63,8497734.682583904,4726078.399335724,-1
359,IQALUIT AWOS,63.75,-68.55,NU,-31.9,0.0,,-18.1,0.0,-38.9,0.0,,,,,,,,,,,,1397.2,0.0,2402591,7944873.7676404705,4415670.598937905,-1
360,IQALUIT CLIMATE,63.747,-68.544,NU,-32.1,1.0,,-18.0,1.0,-39.6,0.0,,,,5.1,1.0,,16.0,1.0,,,,1352.7,0.0,2402592,7945540.936886178,4414916.415251075,-1
368,RESOLUTION ISLAND,61.6,-64.633,NU,-25.3,2.0,,-16.3,1.0,-31.3,1.0,,,,,,,,,,,,1125.5,0.0,2403602,8380424.090213567,3894605.700875479,-1
377,ABEE AGDM,54.283,-112.967,AB,-13.6,0.0,,6.4,0.0,-29.8,0.0,,,,19.5,3.0,,,7.0,,,,884.0,0.0,3010010,3005931.0365377865,2355354.4068168243,3
378,ALBERT HALL AGCM,53.113,-111.181,AB,-13.3,0.0,,4.9,0.0,-32.4,0.0,,,,19.6,0.0,,,4.0,,,,876.4,0.0,3010060,3204525.0820102273,2135591.6309777964,3
379,ALLIANCE AGCM,52.315,-111.779,AB,-11.2,0.0,,6.1,0.0,-26.4,0.0,,,,20.0,0.0,,,8.0,,,,816.5,0.0,3010162,3138030.547187988,1989111.6400856785,3
380,ANDREW AGDM,53.917,-112.279,AB,-13.2,1.0,,4.9,0.0,-29.5,1.0,,,,12.9,5.0,,,4.0,,,,843.2,0.0,3010237,3082433.1100456472,2285948.5816260055,3
381,BELLSHILL AGCM,52.582,-111.465,AB,-11.8,0.0,,5.0,0.0,-26.5,0.0,,,,18.0,1.0,,,5.0,,,,833.1,0.0,3010650,3172945.737713377,2037824.3585253898,3
382,BODO AGDM,52.124,-110.101,AB,-12.7,0.0,,5.0,0.0,-27.7,0.0,,,,25.1,0.0,,,5.0,,,,859.1,0.0,3010730,3324615.546237683,1954444.740253862,3
383,BRETON,53.167,-114.483,AB,-8.3,0.0,,12.0,0.0,-24.0,0.0,26.0,0.0,,0.0,0.0,,32.0,0.0,,,,737.0,0.0,3010815,2837359.6071222094,2145601.4770556465,3
384,BRETON PLOTS,53.089,-114.441,AB,-7.5,0.0,,12.8,0.0,-24.2,0.0,,,,21.4,0.0,,,10.0,,,,715.1,0.0,3010816,2842029.791842166,2131146.845482815,3
385,BUSBY,53.997,-113.889,AB,-11.1,5.0,,8.5,4.0,-23.0,4.0,28.0,1.0,,30.0,1.0,,28.0,11.0,,,,669.5,0.0,3010978,2903409.3624473107,2301067.0564831095,3
386,BUSBY AGCM,53.931,-113.922,AB,-10.3,0.0,,8.4,0.0,-27.1,0.0,,,,26.5,0.0,,,11.0,,,,791.4,0.0,3010979,2899739.931595916,2288592.22175661,3
387,CADOGAN AGCM,52.334,-110.51,AB,-12.9,1.0,,4.8,1.0,-26.1,1.0,,,,17.1,10.0,,,4.0,,,,834.7,0.0,3010992,3279136.8426552475,1992568.3512737788,3
388,CAMROSE,53.035,-112.814,AB,-10.8,0.0,-1.1,7.2,0.0,-26.5,0.0,,,,12.7,1.0,,2.0,4.0,,,,806.1,0.0,3011240,3022943.8523033434,2121155.1330577033,3
389,CAMROSE 2,52.95,-112.8,AB,-18.5,27.0,,6.0,24.0,-25.0,24.0,0.0,11.0,,0.0,11.0,,0.0,0.0,,,,36.5,0.0,3011241,3024500.5805433285,2105452.755408611,-1
390,CARNWOOD,53.234,-114.654,AB,-7.3,0.0,,12.0,0.0,-26.5,0.0,34.0,0.0,,34.0,0.0,,15.0,7.0,,,,709.4,0.0,3011350,2818345.2836195296,2158038.6255158195,3
391,CONSORT AGDM,51.937,-110.713,AB,-12.7,0.0,,4.9,0.0,-28.6,0.0,,,,14.9,4.0,,,5.0,,,,858.5,0.0,3011815,3256564.283175458,1920647.4961309647,3
392,CORONATION CLIMATE,52.074,-111.449,AB,-12.7,0.0,,5.0,0.0,-30.7,0.0,,,,16.2,0.0,,7.0,7.0,,,,858.6,0.0,3011887,3174724.8557019327,1945394.188771383,3
393,CRESTOMERE AGCM,52.733,-113.903,AB,-9.2,1.0,,10.5,1.0,-29.7,1.0,,,,16.6,4.0,,,5.0,,,,733.2,0.0,3011892,2901852.634207324,2065504.9529475356,-1
394,DAKOTA WEST,52.75,-113.95,AB,-7.7,7.0,-0.1,11.5,7.0,-28.0,7.0,19.4,7.0,,19.4,7.0,,16.0,6.0,,,,540.3,0.0,3011953,2896626.4751159446,2068627.3104051491,-1
395,DELBURNE AGCM,52.183,-113.176,AB,-8.6,0.0,,9.0,0.0,-24.0,0.0,,,,13.3,0.0,,,6.0,,,,744.0,0.0,3012050,2982691.307812288,1965137.461124057,3
396,DEWBERRY AGCM,53.659,-110.588,AB,-15.2,8.0,,3.0,8.0,-31.8,7.0,,,,18.9,10.0,,,5.0,,,,663.5,0.0,3012073,3270463.642461044,2237387.947654986,3
397,DONALDA SOUTH,52.517,-112.351,AB,-10.7,0.0,,6.5,0.0,-31.0,0.0,25.0,0.0,,25.0,0.0,,21.0,8.0,,,,802.4,0.0,3012095,3074427.07909715,2025938.2275352245,3
398,EDGERTON AGCM,52.778,-110.433,AB,-13.8,0.0,,4.6,0.0,-31.6,0.0,,,,18.8,1.0,,,4.0,,,,889.8,0.0,3012192,3287698.847975168,2073772.6737257438,3
399,EDMONTON CITY CENTRE AWOS,53.572,-113.519,AB,-8.9,0.0,,8.3,0.0,-22.3,0.0,,,,17.0,0.0,,,6.0,,,,754.1,0.0,3012202,2944551.4659326416,2221079.8894151747,3
400,EDMONTON INTERNATIONAL CS,53.307,-113.606,AB,-10.4,0.0,,7.4,0.0,-28.5,0.0,,,,11.6,0.0,,9.0,3.0,,,,794.1,0.0,3012206,2934877.5118698757,2171611.726183544,3
401,EDMONTON MUNICIPAL CR10,53.573,-113.517,AB,-9.0,0.0,,8.1,0.0,-21.6,0.0,,,,,,,,,,,,755.3,0.0,3012209,2944773.855681212,2221267.1476029037,3
402,EDMONTON NAMAO AWOS A,53.667,-113.467,AB,-10.5,1.0,,8.3,1.0,-25.1,1.0,,,,17.5,2.0,,,6.0,,,,770.7,0.0,3012212,2950333.599395446,2238889.2281665904,3
403,EDMONTON INTL A,53.31,-113.579,AB,-10.5,0.0,,6.8,0.0,-28.4,0.0,15.0,1.0,,22.0,2.0,,17.0,3.0,,,,797.2,0.0,3012216,2937879.773475562,2172170.0210197307,3
404,EDMONTON VILLENEUVE A,53.668,-113.856,AB,-9.4,1.0,,8.2,1.0,-26.0,1.0,,,,9.9,1.0,,,2.0,,,,739.6,0.0,3012229,2907078.7932987055,2239076.9082698487,3
405,EDMONTON STONY PLAIN,53.548,-114.108,AB,-8.3,0.0,-0.9,10.0,0.0,-21.5,0.0,33.2,0.0,212.0,24.2,0.0,166.0,7.0,5.0,,,,737.4,0.0,301222F,2879057.6849789647,2216587.0208144514,3
406,EDMONTON WOODBEND,53.417,-113.75,AB,-9.2,0.0,-0.6,10.0,0.0,-26.5,0.0,28.8,0.0,205.0,28.9,0.0,202.0,22.0,8.0,,,,760.8,0.0,3012230,2918865.449972881,2192108.244694083,3
407,ELK ISLAND NAT PARK,53.683,-112.868,AB,-10.7,0.0,-1.4,9.4,0.0,-28.4,0.0,,,,24.9,0.0,220.0,26.0,5.0,,,,803.0,0.0,3012275,3016939.3290919703,2241892.644458132,3
408,FABYAN,52.967,-111.0,AB,-14.0,0.0,-2.5,5.5,0.0,-30.0,0.0,23.7,0.0,229.0,24.7,0.0,235.0,0.0,7.0,,,,895.9,0.0,3012515,3224651.354255754,2108590.7597851576,3
409,FERINTOSH AGCM,52.744,-112.858,AB,-10.6,1.0,,6.0,1.0,-29.4,0.0,,,,14.8,5.0,,,6.0,,,,772.2,0.0,3012590,3018051.277834816,2067525.1628120309,3
410,FORESTBURG PLANT SITE,52.467,-112.12,AB,-9.0,2.0,-1.6,8.5,2.0,-25.0,2.0,26.8,2.0,,27.2,2.0,,0.0,7.0,,,,702.8,0.0,3012652,3100113.095056911,2016807.0099739907,3
411,FORESTBURG AGCM,52.548,-112.123,AB,-11.1,0.0,,6.4,0.0,-26.5,0.0,,,,14.7,0.0,,,7.0,,,,815.2,0.0,3012653,3099779.5104340566,2031604.8018683223,3
412,FORT SASKATCHEWAN,53.717,-113.183,AB,-7.6,6.0,1.8,8.0,6.0,-25.0,6.0,15.0,6.0,,21.6,6.0,,0.0,7.0,,,,562.2,0.0,3012710,2981912.9436922944,2248278.694840356,3
413,GILT EDGE NORTH AGCM,53.071,-110.621,AB,-13.3,0.0,,4.5,0.0,-29.4,0.0,,,,20.0,9.0,,,4.0,,,,876.1,0.0,3012790,3266794.211609649,2127814.8827685714,3
414,GLENEVIS AGCM,53.833,-114.539,AB,-7.9,0.0,,10.0,0.0,-21.8,0.0,,,,,,,,,,,,725.1,0.0,3012818,2831132.6941622673,2270105.3256111806,3
415,HALKIRK AGCM,52.116,-112.164,AB,-14.0,13.0,,5.4,13.0,-30.0,11.0,,,,8.4,17.0,,,3.0,,,,479.7,0.0,3012999,3095220.520588385,1952995.9700343143,3
416,HEMARUKA AGCM,51.78,-111.212,AB,-12.2,0.0,,5.3,0.0,-30.8,0.0,,,,10.7,1.0,,,5.0,,,,845.6,0.0,3013140,3201078.0409074016,1892380.8877517972,3
417,HOLDEN AGDM,53.185,-112.246,AB,-11.9,0.0,,6.6,0.0,-27.6,0.0,,,,,,,,,,,,838.0,0.0,3013340,3086102.540897042,2148940.8912018193,3
418,HUGHENDEN AGCM,52.578,-110.784,AB,-12.7,1.0,,4.6,1.0,-27.6,0.0,,,,14.4,6.0,,,3.0,,,,829.2,0.0,3013362,3248669.4471012447,2037092.3956779307,3
419,KILLAM AGDM,52.848,-111.872,AB,-12.0,0.0,,5.1,0.0,-27.6,0.0,,,,29.5,7.0,,,12.0,,,,840.1,0.0,3013640,3127689.423879512,2086650.5803571716,3
420,KESSLER AGCM,52.29,-111.113,AB,-12.3,0.0,,5.9,0.0,-30.0,0.0,,,,18.0,11.0,,,4.0,,,,847.0,0.0,3013644,3212086.3334615855,1984565.5959715825,3
421,KITSCOTY AGCM,53.353,-110.416,AB,-13.3,5.0,,3.6,4.0,-24.1,4.0,,,,2.9,20.0,,,0.0,,,,719.9,0.0,3013660,3289589.1608380084,2180176.561800557,3
422,LEGAL AGCM,54.003,-113.474,AB,-11.8,13.0,,4.3,13.0,-23.1,11.0,,,,1.4,22.0,,,1.0,,,,446.9,0.0,3013790,2949555.2352754525,2302202.112601931,3
423,LINDBERGH AGDM,53.943,-110.579,AB,-14.7,0.0,,5.9,0.0,-32.7,0.0,,,,17.4,4.0,,,5.0,,,,916.0,0.0,3013921,3271464.396329606,2290858.9049568037,3
424,LLOYDMINSTER,53.309,-110.073,AB,-13.9,2.0,,4.5,2.0,-27.3,1.0,,,,8.7,2.0,,,3.0,,,,830.0,0.0,3013959,3327729.002717654,2171983.918382045,3
425,LLOYDMINSTER A,53.309,-110.073,AB,-14.2,0.0,-2.5,4.4,0.0,-27.3,0.0,28.4,0.0,289.0,28.6,0.0,291.0,22.0,7.0,,,,902.2,0.0,3013961,3327729.002717654,2171983.918382045,3
426,MANNVILLE AGCM,53.456,-111.255,AB,-13.1,0.0,,5.7,0.0,-27.6,0.0,,,,19.1,0.0,,,4.0,,,,872.1,0.0,3014195,3196296.6613131613,2199387.921541391,3
427,MUNDARE AGDM,53.567,-112.3,AB,-11.3,7.0,,5.3,7.0,-24.8,7.0,,,,25.3,12.0,,1.0,11.0,,,,614.9,0.0,3014665,3080098.017685669,2220143.664897075,3
428,MYRNAM AGCM,53.72,-111.114,AB,-14.1,0.0,,6.5,0.0,-34.5,0.0,,,,13.8,1.0,,,3.0,,,,898.5,0.0,3014690,3211975.1385873,2248842.417652542,3
429,NEW SEREPTA AGCM,53.262,-113.165,AB,-10.5,0.0,,6.8,0.0,-25.0,0.0,,,,20.6,1.0,,,9.0,,,,797.2,0.0,3014795,2983914.4514294188,2163242.0069035003,3
430,OLIVER AGDM,53.65,-113.35,AB,-10.1,0.0,,8.3,0.0,-26.8,0.0,,,,,,,,,,,,786.0,0.0,3014921,2963343.399686754,2235699.347624461,3
431,RADWAY AGCM,53.995,-112.879,AB,-12.2,0.0,,7.4,0.0,-28.8,0.0,,,,,,,,,,,,846.0,0.0,3015346,3015716.1854748377,2300688.7407955155,3
432,RANFURLY AUTO,53.425,-111.726,AB,-12.8,0.0,,4.4,0.0,-27.0,0.0,,,,26.0,0.0,,12.0,6.0,,,,861.8,0.0,3015401,3143923.875525076,2193600.9671975086,3
433,RIBSTONE SOUTH AGCM,52.587,-110.343,AB,-13.1,0.0,,5.1,0.0,-28.4,0.0,,,,23.8,7.0,,,5.0,,,,870.4,0.0,3015480,3297706.386660789,2038739.4060190292,3
434,RIVERCOURSE AGCM,53.019,-110.102,AB,-14.3,0.0,,4.0,0.0,-28.6,0.0,,,,12.7,7.0,,,2.0,,,,904.3,0.0,3015501,3324504.3513633977,2118197.028954643,3
435,ROCKY MTN HOUSE (AUT),52.421,-114.912,AB,-8.5,5.0,,11.8,5.0,-29.2,5.0,,,,16.0,5.0,,34.0,8.0,,,,609.5,0.0,3015523,2789657.0060540806,2008415.4462109087,-1
436,ROSALIND AGCM,52.78,-112.428,AB,-11.1,0.0,,6.0,0.0,-26.4,0.0,,,,13.3,1.0,,,7.0,,,,813.7,0.0,3015600,3065865.07377723,2074140.326314574,3
437,ST. LINA AGCM,54.282,-111.453,AB,-13.2,0.0,,7.1,0.0,-28.7,0.0,,,,14.2,2.0,,,3.0,,,,872.6,0.0,3015673,3174280.0762047935,2355163.9358894685,3
438,ST. PAUL AGCM,54.011,-111.272,AB,-15.0,0.0,,6.0,0.0,-31.1,0.0,,,,17.3,1.0,,,4.0,,,,924.4,0.0,3015676,3194406.3484503203,2303715.775306873,3
439,SEDALIA AGCM,51.59,-110.755,AB,-12.5,0.0,,4.6,0.0,-30.0,0.0,,,,5.6,9.0,,,1.0,,,,855.3,0.0,3015797,3251894.0984555017,1858304.119685715,3
440,SHONTS AGCM,53.333,-112.539,AB,-11.6,0.0,,7.4,0.0,-28.4,0.0,,,,23.8,2.0,,,8.0,,,,827.8,0.0,3015900,3053522.4427316296,2176451.585382807,3
